time,service_id,path_nodes,path_links,path_delay,path_loss,bottleneck_node,bottleneck_link
95,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,66.42619,0.003597,cloud_0,edge_4-cloud_0
95,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,63.23313,0.006069,cloud_0,access_0-edge_1
96,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,66.62683,0.008875,cloud_0,edge_2-cloud_0
96,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,65.65893,0.005225,cloud_0,edge_4-cloud_0
96,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,62.59483,0.008772,cloud_0,edge_1-cloud_0
97,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,65.03171,0.010928,cloud_0,edge_2-cloud_0
97,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,63.53607,0.012515,cloud_0,edge_4-cloud_0
97,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,62.16534,0.007037,edge_1,edge_1-cloud_0
98,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,69.3689,0.004185,edge_2,edge_2-cloud_0
98,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,60.40671,0.006476,edge_4,access_1-edge_4
98,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,68.9358,0.010044,cloud_0,edge_1-cloud_0
99,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.80905,0.006078,cloud_0,access_0-edge_2
99,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,62.86565,0.011705,cloud_0,edge_4-cloud_0
99,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,68.03809,0.006207,cloud_0,access_0-edge_1
100,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.48868,0.011787,cloud_0,edge_2-cloud_0
100,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,65.66795,0.00876,cloud_0,edge_4-cloud_0
100,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,68.4882,0.009493,cloud_0,edge_1-cloud_0
101,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,66.9847,0.012437,cloud_0,edge_2-cloud_0
101,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,62.75153,0.006468,cloud_0,edge_4-cloud_0
101,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,64.17037,0.007704,cloud_0,access_0-edge_1
102,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,65.0987,0.008456,cloud_0,edge_2-cloud_0
102,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,61.36855,0.006073,cloud_0,access_1-edge_4
102,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,67.14871,0.010588,cloud_0,edge_1-cloud_0
103,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,66.01366,0.009624,edge_2,access_0-edge_2
103,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,64.58118,0.006019,cloud_0,access_1-edge_4
103,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,70.32086,0.006869,cloud_0,edge_1-cloud_0
104,0,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,64.13845,0.012715,cloud_0,access_0-edge_2
104,1,access_1|edge_4|cloud_0,access_1-edge_4|edge_4-cloud_0,68.43679,0.012804,edge_4,edge_4-cloud_0
104,2,access_0|edge_1|cloud_0,access_0-edge_1|edge_1-cloud_0,64.0534,0.007218,edge_1,edge_1-cloud_0
105,0,access_0|edge_3|cloud_0,access_0-edge_3|edge_3-cloud_0,66.22745,0.007531,edge_3,edge_3-cloud_0
105,1,access_1|edge_0|cloud_0,access_1-edge_0|edge_0-cloud_0,66.09269,0.006559,cloud_0,edge_0-cloud_0
105,2,access_0|edge_2|cloud_0,access_0-edge_2|edge_2-cloud_0,63.33339,0.009224,edge_2,access_0-edge_2
